Time	Temp	Hum	Baro	Acc(x)	Acc(y)	Acc(z)	Mag(x)	Mag(y)	Mag(z)	Gyro(x)	Gyro(y)	Gyro(z)	Light
19:31:25	-9999	-9999	1007.47	-2.4899697	0.7086837	9.576807	37.3125	-21.625	-19.1875	-0.013439035	-0.002443461	0.007330383	365.0
19:31:27	-9999	-9999	1007.64996	-4.1371803	1.2449849	8.791509	37.9375	-19.75	-14.0625	-0.017104227	-0.012217305	0.0	365.0
19:31:28	-9999	-9999	1007.68	-3.1986535	0.59376204	9.289502	36.75	-17.3125	-18.9375	-0.03176499	-0.02443461	-0.0061086523	365.0
19:31:29	-9999	-9999	1007.70996	-2.8538885	0.47884035	9.308656	36.4375	-15.875	-18.875	-0.10995574	-0.13805555	0.021991149	379.0
19:31:30	-9999	-9999	1007.64996	-2.4899697	0.21068975	9.097966	35.375	-16.9375	-21.9375	0.017104227	-0.0036651916	-0.004886922	379.0
19:31:31	-9999	-9999	1007.64996	-2.96881	0.2681506	9.3661175	35.875	-16.6875	-21.9375	-0.002443461	0.09407325	0.06719518	379.0
19:31:32	-9999	-9999	1007.62	-2.7389667	0.9768343	9.385271	37.3125	-17.3125	-21.125	0.07086037	0.15760323	-0.089186326	393.0
19:31:33	-9999	-9999	1007.64996	-3.3518825	0.076614454	9.174581	38.875	-14.1875	-20.9375	0.013439035	0.037873644	0.02687807	393.0
19:31:34	-9999	-9999	1007.62	-3.371036	0.24899697	9.11712	39.0	-15.8125	-20.625	0.028099801	0.007330383	-0.0036651916	393.0
19:31:35	-9999	-9999	1007.68	-3.3901896	0.24899697	9.270349	38.875	-14.9375	-20.5625	0.0036651916	0.0012217305	0.0	393.0
19:31:36	-9999	-9999	1007.64996	-3.3327289	0.24899697	9.174581	38.3125	-14.0625	-20.125	0.017104227	0.015882496	-0.007330383	379.0
19:31:37	-9999	-9999	1007.62	-4.1180267	0.38307226	8.887277	39.6875	-12.8125	-18.1875	0.02443461	0.089186326	-0.013439035	379.0
19:31:38	-9999	-9999	1007.62	-4.462792	0.30645782	8.7532015	39.625	-13.75	-17.1875	0.009773844	0.10140363	0.0036651916	379.0
19:31:39	-9999	-9999	1007.62	-4.6160207	0.40222588	8.714894	39.9375	-14.75	-16.9375	0.02076942	-0.0061086523	-0.0012217305	379.0
19:31:40	-9999	-9999	1007.58997	-4.6351743	0.6512229	8.580819	39.5	-14.375	-15.9375	0.036651913	0.019547688	-0.0012217305	379.0
19:31:41	-9999	-9999	1007.62	-4.5777135	0.63206923	8.619126	39.75	-15.1875	-16.0625	0.012217305	0.007330383	-0.0061086523	379.0
19:31:42	-9999	-9999	1007.70996	-4.6351743	0.6512229	8.599973	40.5	-13.375	-15.75	-0.0012217305	-0.008552114	0.0012217305	379.0
19:31:43	-9999	-9999	1007.68	-4.654328	0.6512229	8.599973	40.125	-13.9375	-16.125	0.0061086523	0.012217305	0.0	379.0
19:31:44	-9999	-9999	1007.64996	-4.6926355	0.63206923	8.619126	40.0	-14.6875	-15.25	0.002443461	0.010995574	0.0	379.0
19:31:45	-9999	-9999	1007.62	-4.6926355	0.63206923	8.63828	39.5	-15.1875	-15.5625	0.002443461	0.013439035	-0.007330383	379.0
19:31:46	-9999	-9999	1007.62	-4.673482	0.6512229	8.561666	38.9375	-16.0	-14.875	0.0061086523	0.012217305	-0.008552114	379.0
19:31:47	-9999	-9999	1007.58997	-4.654328	0.6512229	8.485051	39.1875	-15.9375	-15.0625	0.009773844	0.0036651916	0.0036651916	379.0
19:31:48	-9999	-9999	1007.62	-4.673482	0.6703765	8.542512	38.6875	-16.625	-15.0625	-0.0061086523	-0.013439035	-0.0012217305	379.0
19:31:49	-9999	-9999	1007.58997	-4.6351743	0.59376204	8.523358	38.5	-16.3125	-14.8125	0.019547688	0.0036651916	0.0012217305	379.0
19:31:50	-9999	-9999	1007.56	-4.6160207	0.63206923	8.580819	39.125	-16.75	-15.125	-0.0036651916	-0.002443461	-0.0061086523	379.0
19:31:51	-9999	-9999	1007.74	-4.7309427	0.6703765	8.580819	39.0	-16.625	-14.8125	0.0012217305	0.0012217305	-0.002443461	379.0
19:31:52	-9999	-9999	1007.58997	-4.711789	0.5746084	8.6574335	38.8125	-16.25	-15.875	0.002443461	0.007330383	-0.013439035	379.0
