Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,Turn,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1473908006102,-9999,-9999,1005.39996,-0.1340753,8.983045,4.596867,-0.027509928,0.34800816,-0.30644417,-8.25,63.375,-4.125,14.571442,-9999,-0.004886922,-0.057421334,0.028099801,0.0,-9999,-9999,-9999
1473908006203,-9999,-9999,1005.33997,-0.019153614,8.829816,4.673482,0.19186282,0.3893957,-0.029830933,-8.6875,63.125,-3.6875,14.648315,-9999,0.0,-0.0061086523,0.008552114,0.0,-9999,-9999,-9999
1473908006307,-9999,-9999,1005.39996,-0.22984336,8.599973,4.654328,-0.017355919,0.06707096,-0.17421341,-9.125,63.125,-3.9375,14.830353,-9999,-0.009773844,0.02687807,-0.02687807,0.0,-9999,-9999,-9999
1473908006409,-9999,-9999,1005.33997,-0.22984336,8.504205,4.711789,-0.008593053,-0.038506508,-0.09898138,-9.0,63.4375,-3.625,14.949249,-9999,0.0061086523,0.0061086523,-0.002443461,0.0,-9999,-9999,-9999
1473908006512,-9999,-9999,1005.39996,-0.24899697,8.542512,4.807557,-0.023620158,-0.0044355392,0.004506111,-8.8125,63.0625,-3.875,14.954498,-9999,-0.014660766,0.008552114,-0.0012217305,0.0,-9999,-9999,-9999
1473908006628,-9999,-9999,1005.33997,-0.38307226,8.7532015,4.4819455,-0.1966779,0.19974422,-0.11799765,-8.5,62.1875,-3.8125,14.939697,-9999,-0.02076942,0.014660766,-0.002443461,0.0,-9999,-9999,-9999
1473908006738,-9999,-9999,1005.43,-0.11492168,8.791509,4.9224787,0.10926219,0.23595142,0.13472843,-8.75,62.125,-4.0625,14.892151,-9999,-0.032986723,0.009773844,0.0,0.0,-9999,-9999,-9999
1473908006843,-9999,-9999,1005.31,-0.095768064,8.791509,4.903325,0.12279381,0.23403454,0.118738174,-8.6875,62.3125,-4.0625,14.854523,-9999,0.008552114,0.056199603,-0.034208454,0.0,-9999,-9999,-9999
1473908006949,-9999,-9999,1005.37,-0.40222588,8.293514,4.76925,-0.17198117,-0.2607746,-0.02048111,-8.5,62.125,-4.0625,14.761932,-9999,0.0036651916,0.0,0.002443461,0.0,-9999,-9999,-9999
1473908007050,-9999,-9999,1005.33997,-0.30645782,8.734048,4.960786,-0.083415434,0.18295956,0.16500187,-8.25,62.0,-4.125,14.621887,-9999,0.010995574,-0.03176499,0.021991149,0.0,-9999,-9999,-9999
1473908007157,-9999,-9999,1005.33997,-0.095768064,8.772355,4.960786,0.12668,0.22280502,0.16223288,-8.5,62.125,-4.1875,14.576477,-9999,0.002443461,-0.05009095,0.034208454,0.0,-9999,-9999,-9999
1473908007264,-9999,-9999,1005.39996,-0.076614454,8.619126,5.1140146,0.13938224,0.07497406,0.30556345,-8.5,62.125,-3.9375,14.469116,-9999,-0.004886922,-0.032986723,0.019547688,0.0,-9999,-9999,-9999
1473908007372,-9999,-9999,1005.27997,-0.4405331,8.6574335,4.865018,-0.22015278,0.119190216,0.04627943,-8.5625,62.3125,-3.875,14.38562,-9999,-0.008552114,0.008552114,-0.0012217305,0.0,-9999,-9999,-9999
1473908007476,-9999,-9999,1005.33997,-0.1340753,8.7532015,5.2863975,0.081960335,0.22199535,0.45501614,-8.3125,62.3125,-3.9375,14.247559,-9999,-0.02443461,-0.04520403,0.030543262,0.0,-9999,-9999,-9999
1473908007579,-9999,-9999,1005.27997,-0.095768064,8.523358,5.0374002,0.118398935,0.00157547,0.1893363,-8.4375,62.5625,-3.875,14.12616,-9999,-0.004886922,0.056199603,-0.032986723,0.0,-9999,-9999,-9999
1473908007692,-9999,-9999,1005.25,-0.34476504,8.523358,5.056554,-0.12520817,0.008817673,0.19602156,-8.4375,62.375,-3.9375,14.041748,-9999,-0.009773844,0.012217305,-0.008552114,0.0,-9999,-9999,-9999
1473908007803,-9999,-9999,1005.31,-0.19153613,8.619126,5.171476,0.1772418,-0.07917881,0.33548117,-8.3125,62.25,-4.1875,13.915588,-9999,-0.004886922,0.004886922,-0.008552114,0.0,-9999,-9999,-9999
1473908007905,-9999,-9999,1005.27997,-0.2681506,8.293514,5.056554,-0.046712443,-0.2034111,0.16537523,-8.5625,62.3125,-4.125,13.8576355,-9999,0.010995574,-0.052534413,0.036651913,0.0,-9999,-9999,-9999
1473908008012,-9999,-9999,1005.31,-0.21068975,8.389283,5.3438582,0.007196918,-0.05393982,0.42587328,-8.375,62.0,-4.0,13.743988,-9999,-0.002443461,0.0,-0.007330383,0.0,-9999,-9999,-9999
1473908008118,-9999,-9999,1005.31,-0.32561144,8.446744,5.4204726,0.04959698,-0.2418871,0.5019617,-8.0,62.3125,-3.875,13.473206,-9999,0.009773844,-0.015882496,0.010995574,0.0,-9999,-9999,-9999
1473908008221,-9999,-9999,1005.25,-0.24899697,8.063671,5.554548,-0.13832097,-0.0034704208,0.51257133,-8.25,62.6875,-3.5,13.23761,-9999,-0.013439035,0.02443461,-0.021991149,0.0,-9999,-9999,-9999
1473908008322,-9999,-9999,1005.22,-0.30645782,8.101978,5.650316,-0.07671419,-0.29424477,0.5885925,-8.5,62.375,-3.4375,13.040924,-9999,-0.0036651916,0.0012217305,0.0036651916,0.0,-9999,-9999,-9999
1473908008424,-9999,-9999,1005.31,-0.30645782,8.485051,5.401319,-0.07580227,0.11027241,0.3042345,-8.5625,62.5625,-3.1875,13.036987,-9999,-0.0061086523,-0.018325957,-0.0012217305,0.0,-9999,-9999,-9999
1473908008535,-9999,-9999,1005.37,-0.19153613,8.331821,5.554548,-0.017794743,0.20341969,0.20057869,-9.625,62.875,-2.9375,13.236786,-9999,0.010995574,0.0036651916,0.018325957,0.0,-9999,-9999,-9999
1473908008637,-9999,-9999,1005.37,-0.22984336,8.389283,5.3438582,-0.007100478,0.046087265,0.19489193,-9.8125,62.5,-2.3125,13.535767,-9999,0.002443461,-0.002443461,0.007330383,0.0,-9999,-9999,-9999
1473908008739,-9999,-9999,1005.37,-0.17238252,8.274361,5.535394,0.06105113,-0.053952217,0.36286116,-9.875,62.6875,-1.5625,13.8359375,-9999,0.017104227,0.007330383,0.015882496,0.0,-9999,-9999,-9999
1473908008841,-9999,-9999,1005.31,-0.49799395,8.00621,5.6120086,-0.23904416,-0.30404758,0.41172314,-10.125,62.75,-2.0,14.0677185,-9999,0.004886922,0.04153884,-0.004886922,0.0,-9999,-9999,-9999
1473908008943,-9999,-9999,1005.37,-0.7661445,8.37013,5.2863975,-0.48597133,0.07051563,0.07023907,-10.3125,63.125,-1.75,14.440155,-9999,0.009773844,0.02321288,0.02565634,0.0,-9999,-9999,-9999
1473908009048,-9999,-9999,1005.37,-0.17238252,8.580819,5.209783,0.07974245,0.27463913,0.0026521683,-10.75,62.4375,-1.6875,14.922607,-9999,-0.0012217305,0.028099801,0.02687807,0.0,-9999,-9999,-9999
1473908009151,-9999,-9999,1005.39996,-0.11492168,8.523358,4.903325,0.10549166,0.20206642,-0.28106546,-10.1875,62.5,-1.8125,15.32486,-9999,0.035430185,0.018325957,0.040317107,0.0,-9999,-9999,-9999
1473908009253,-9999,-9999,1005.33997,-0.2873042,8.561666,4.999093,0.078186736,0.16209888,-0.17123747,-9.9375,62.6875,-3.0,15.640045,-9999,0.008552114,0.0720821,0.0036651916,0.0,-9999,-9999,-9999
1473908009356,-9999,-9999,1005.33997,-0.36391866,8.312668,5.1523223,-0.05063647,8.430481E-4,-0.13799334,-9.9375,62.5,-3.125,15.842407,-9999,-0.007330383,0.05131268,0.018325957,0.0,-9999,-9999,-9999
1473908009457,-9999,-9999,1005.31,-0.5554548,8.37013,5.094861,-0.29027042,0.024711609,-0.048491478,-9.75,62.9375,-2.9375,15.878265,-9999,-0.004886922,0.034208454,0.039095376,0.0,-9999,-9999,-9999
1473908009564,-9999,-9999,1005.27997,-0.19153613,8.580819,5.094861,0.061751276,0.23113823,-0.042168617,-10.5,62.75,-2.1875,16.05069,-9999,0.0012217305,0.06841691,0.014660766,0.0,-9999,-9999,-9999
1473908009666,-9999,-9999,1005.37,-0.4213795,8.772355,5.0757074,-0.15237617,0.41644192,-0.05037546,-10.625,62.875,-1.625,16.373047,-9999,-0.012217305,0.062308256,0.014660766,0.0,-9999,-9999,-9999
1473908009773,-9999,-9999,1005.25,-0.38307226,8.619126,4.8841715,-0.13088274,0.04682064,-0.38465834,-10.25,63.0625,-1.625,16.595093,-9999,-0.002443461,0.065973446,0.043982297,0.0,-9999,-9999,-9999
1473908009884,-9999,-9999,1005.33997,-0.36391866,8.983045,4.807557,-0.061142266,0.60388374,-0.2785411,-10.5625,62.6875,-2.5,16.98523,-9999,0.013439035,0.05009095,0.06719518,0.0,-9999,-9999,-9999
1473908009986,-9999,-9999,1005.37,-0.24899697,8.868123,4.7884035,0.074874744,0.48303795,-0.42841244,-9.8125,62.75,-3.0625,17.224304,-9999,0.0036651916,0.06963864,0.059864793,0.0,-9999,-9999,-9999
1473908010088,-9999,-9999,1005.31,-0.21068975,8.619126,4.8458643,0.34014416,-0.13348961,0.20217991,-9.4375,62.625,-3.0625,17.133759,-9999,0.007330383,0.1160644,0.012217305,0.0,-9999,-9999,-9999
1473908010190,-9999,-9999,1005.27997,-0.38307226,8.714894,4.7309427,0.113616705,0.32302475,-0.41215515,-9.875,62.375,-3.375,17.123169,-9999,0.004886922,0.10995574,0.017104227,0.0,-9999,-9999,-9999
1473908010297,-9999,-9999,1005.37,-0.11492168,8.599973,4.76925,0.10976711,0.081329346,-0.10583544,-10.125,62.25,-3.5,17.070587,-9999,-0.012217305,0.09896017,0.028099801,0.0,-9999,-9999,-9999
1473908010399,-9999,-9999,1005.37,-0.5746084,8.676587,4.6926355,-0.30337393,0.20764828,-0.24436045,-10.3125,62.375,-3.5625,17.167816,-9999,-0.014660766,0.08674286,0.029321533,0.0,-9999,-9999,-9999
1473908010508,-9999,-9999,1005.37,-0.19153613,8.523358,4.6160207,0.039288923,-0.2525406,0.06284523,-10.5625,62.4375,-3.5,17.184204,-9999,0.0,0.080634214,0.040317107,0.0,-9999,-9999,-9999
1473908010617,-9999,-9999,1005.31,-0.11492168,8.676587,5.1140146,0.15127248,0.2051506,0.18103456,-10.9375,61.5625,-3.5,17.213379,-9999,0.004886922,0.052534413,0.064751714,0.0,-9999,-9999,-9999
1473908010731,-9999,-9999,1005.31,-0.21068975,8.695741,4.903325,0.045496225,0.20663834,2.7513504E-4,-11.1875,62.0,-3.125,17.462769,-9999,0.007330383,0.17592919,-0.02687807,0.0,-9999,-9999,-9999
1473908010833,-9999,-9999,1005.31,-0.45968673,8.676587,4.807557,-0.15927467,0.17317104,-0.06810284,-11.6875,61.8125,-2.6875,17.927185,-9999,-0.0061086523,0.10751228,0.018325957,0.0,-9999,-9999,-9999
1473908010935,-9999,-9999,1005.25,-0.78529817,8.42759,4.9799395,-0.42287397,-0.0731926,0.10390329,-12.0,62.125,-2.3125,18.371674,-9999,0.021991149,0.06352998,0.06841691,0.0,-9999,-9999,-9999
1473908011038,-9999,-9999,1005.27997,-0.1340753,8.523358,4.960786,0.21418636,0.014323235,0.0981307,-12.25,62.75,-1.75,18.711609,-9999,0.007330383,0.089186326,0.062308256,0.0,-9999,-9999,-9999
