Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1473354620928,-9999,-9999,998.38995,0.32561144,9.040505,4.1371803,-0.9197292,-0.09475517,0.48547268,-24.25,72.0,-9.125,27.357513,0.080634214,0.24801129,-0.07941248,990.0,-9999,-9999,-9999
1473354621045,-9999,-9999,998.38995,0.51714754,8.944737,3.7349546,-0.5655279,-0.3063898,-0.11447692,-24.75,72.1875,-9.1875,27.02829,0.05375614,0.105068825,-0.02687807,990.0,-9999,-9999,-9999
1473354621163,-9999,-9999,998.44995,0.11492168,9.5385,4.098873,-0.45910925,0.47744465,0.23901439,-24.5,72.375,-9.5,27.37146,-0.002443461,0.13439035,-0.037873644,990.0,-9999,-9999,-9999
1473354621274,-9999,-9999,998.44995,0.36391866,8.944737,4.1180267,-0.72611964,0.013903618,0.39081526,-24.75,72.5625,-9.5625,28.876709,0.0,0.07696902,0.052534413,990.0,-9999,-9999,-9999
1473354621390,-9999,-9999,998.42,0.51714754,8.6574335,3.9073372,-0.17852062,-0.12019348,0.092176914,-24.6875,72.1875,-9.75,28.79898,-0.007330383,0.02076942,0.07941248,990.0,-9999,-9999,-9999
1473354621511,-9999,-9999,998.48,-0.15322891,8.848969,3.9264908,-0.9703847,0.2094965,0.045962572,-24.625,71.625,-9.4375,29.313019,0.1001819,0.27122417,-0.081855945,990.0,-9999,-9999,-9999
1473354621620,-9999,-9999,998.48,0.19153613,9.308656,4.098873,-0.5784329,0.26691532,0.38074398,-24.6875,71.9375,-10.4375,30.51419,-0.008552114,0.009773844,0.10629055,990.0,-9999,-9999,-9999
1473354621738,-9999,-9999,998.44995,0.19153613,8.446744,3.6966474,-0.6906518,-0.6090441,-0.15323639,-24.8125,72.6875,-10.25,31.151062,0.02076942,0.14905111,0.037873644,990.0,-9999,-9999,-9999
1473354621853,-9999,-9999,998.42,0.076614454,8.42759,4.0414124,-0.64901924,-0.59561634,0.2697277,-25.1875,72.4375,-11.0,31.224365,-0.009773844,0.12705997,0.043982297,1116.0,-9999,-9999,-9999
1473354621970,-9999,-9999,998.42,-0.30645782,9.002198,4.175488,-0.8503031,0.07218838,0.19902253,-25.4375,72.8125,-11.3125,31.70697,-0.0012217305,0.16982053,0.03176499,1116.0,-9999,-9999,-9999
1473354622081,-9999,-9999,998.50995,-0.45968673,8.963891,4.232949,-1.0255809,-0.023477554,0.3499894,-25.25,72.625,-12.0,31.938416,-0.010995574,0.09773844,0.09896017,1116.0,-9999,-9999,-9999
1473354622191,-9999,-9999,998.48,-0.30645782,9.251195,4.2521024,-0.6359627,0.54908943,0.197541,-25.125,72.5625,-11.625,31.86267,0.05375614,0.21135938,0.019547688,1116.0,-9999,-9999,-9999
1473354622304,-9999,-9999,998.44995,-0.22984336,9.174581,4.003105,-0.7956464,0.14536285,0.39951086,-25.3125,72.6875,-12.1875,31.762238,0.06352998,0.23823744,0.010995574,1116.0,-9999,-9999,-9999
1473354622422,-9999,-9999,998.42,-0.40222588,8.408437,4.175488,-0.94939995,-0.44939804,0.16321588,-25.4375,72.75,-12.625,32.419952,-0.002443461,0.12583824,0.095294975,1116.0,-9999,-9999,-9999
1473354622541,-9999,-9999,998.44995,-0.22984336,9.040505,4.0414124,-0.54687375,0.121665955,0.30017066,-25.875,72.5625,-13.5,32.218567,0.02687807,0.204029,0.040317107,1271.0,-9999,-9999,-9999
