Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),Mag(x),Mag(y),Mag(z),Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
12:28:57.308,-9999,-9999,1002.6789,0.75,1.7158356,9.678558,-30.453491,-3.7246704,8.558655,-0.077941895,-0.0124053955,0.0050354004,75.0,35.9048948,-79.0548632,-9999
12:28:57.438,-9999,-9999,1002.66895,0.55578613,1.7424316,9.512039,-31.32019,-1.8310547,9.735107,-0.0030670166,0.04272461,0.010498047,74.05072,35.9048948,-79.0548632,-9999
12:28:57.561,-9999,-9999,1002.6789,0.7281494,1.6768799,9.566254,-32.881165,-2.6916504,9.2300415,-0.027313232,-0.03404236,0.008926392,75.9478,35.9048948,-79.0548632,-9999
12:28:57.684,-9999,-9999,1002.66895,0.59181213,1.790741,9.486374,-33.694458,-1.7822266,9.005737,0.00592041,0.013641357,-0.0044403076,76.0,35.9048948,-79.0548632,-9999
12:28:57.809,-9999,-9999,1002.6692,0.74108887,1.7167969,9.592056,-33.815002,-2.6168823,9.347534,-0.04875183,-0.02885437,-0.022384644,77.90427,35.9049141,-79.0548843,-9999
12:28:57.932,-9999,-9999,1002.6789,0.62254333,1.6725006,9.486618,-33.207703,-2.7511597,8.988953,0.003326416,0.023712158,-0.002609253,78.94296,35.9049141,-79.0548843,-9999
12:28:58.058,-9999,-9999,1002.6789,0.792984,1.6855469,9.537918,-31.840515,-2.6916504,8.558655,-0.045425415,-0.0045776367,-0.028366089,79.95212,35.9049141,-79.0548843,-9999
12:28:58.208,-9999,-9999,1002.6889,0.7814026,1.5423279,9.83606,-33.57544,-3.036499,7.885742,0.13369751,-0.06729126,-0.06425476,80.947235,35.9049141,-79.0548843,-9999
12:28:58.337,-9999,-9999,1002.68756,0.60543823,2.0711975,8.867126,-32.58667,-3.8513184,8.51593,0.2556305,0.040924072,0.0039520264,78.144424,35.9049141,-79.0548843,-9999
12:28:58.461,-9999,-9999,1002.6855,0.7846985,1.8204651,9.6983795,-33.055115,-2.2384644,8.329773,-0.024276733,-0.0473938,-0.013504028,75.0,35.9049141,-79.0548843,-9999
12:28:58.590,-9999,-9999,1002.6789,0.7256775,1.8119812,9.210236,-32.53479,-3.3813477,7.017517,0.08085632,0.018844604,0.028121948,76.90485,35.9049141,-79.0548843,-9999
12:28:58.713,-9999,-9999,1002.686,0.69866943,1.7854462,9.5429535,-31.66809,-3.263855,8.001709,0.034072876,-0.006164551,-0.009613037,77.9413,35.9049141,-79.0548843,-9999
12:28:58.846,-9999,-9999,1002.6789,0.690155,1.8864288,9.349182,-31.237793,-3.453064,6.930542,0.10293579,0.006286621,-0.0072784424,78.95155,35.9049064,-79.0548976,-9999
12:28:58.972,-9999,-9999,1002.6789,0.6167145,1.8535004,9.571777,-30.279541,-3.8970947,6.3720703,0.03717041,-0.058517456,0.0024871826,81.9458,35.9049064,-79.0548976,-9999
12:28:59.095,-9999,-9999,1002.6787,0.7441559,1.9221191,9.388412,-30.973816,-2.1743774,6.036377,0.081710815,-0.07644653,0.019195557,81.0482,35.9049064,-79.0548976,-9999
12:28:59.230,-9999,-9999,1002.66895,0.7316437,2.183899,9.295929,-30.973816,-1.5228271,6.6741943,-0.045150757,0.070251465,-0.019424438,80.04817,35.9049064,-79.0548976,-9999
12:28:59.371,-9999,-9999,1002.66895,0.76763916,2.0384521,9.366501,-31.77948,-2.5299072,6.0073853,0.032424927,-0.02909851,-0.0044555664,80.0,35.9049064,-79.0548976,-9999
12:28:59.501,-9999,-9999,1002.66895,0.56607056,2.0528717,9.385208,-32.026672,-2.4658203,6.803894,0.06700134,-0.0016174316,-0.002822876,79.05786,35.9049064,-79.0548976,-9999
12:28:59.626,-9999,-9999,1002.66895,0.69584656,2.0817413,9.298859,-32.36084,-2.519226,6.7077637,0.026397705,-0.012481689,0.01473999,78.0484,35.9049064,-79.0548976,-9999
12:28:59.764,-9999,-9999,1002.66895,0.80822754,2.2264557,9.433395,-32.70874,-1.486206,7.044983,0.004211426,-0.013198853,-6.2561035E-4,78.95212,35.904885,-79.0548569,-9999
12:28:59.896,-9999,-9999,1002.66895,0.7784424,2.1306763,9.15181,-31.330872,-1.1322021,7.054138,0.011489868,-0.03286743,0.010513306,77.050705,35.904885,-79.0548569,-9999
12:29:00.016,-9999,-9999,1002.6759,0.8474579,2.1357574,9.644989,-31.16455,-1.7547607,7.487488,-0.014556885,-0.097976685,-0.011871338,76.047714,35.904885,-79.0548569,-9999
12:29:00.142,-9999,-9999,1002.6789,0.91012573,2.098114,9.740158,-31.297302,-2.2460938,7.788086,-0.016494751,-0.07485962,0.020904541,73.15825,35.904885,-79.0548569,-9999
12:29:00.264,-9999,-9999,1002.6789,0.9792328,2.1609497,9.8645935,-33.17871,-2.3422241,9.225464,0.027236938,-0.06147766,-0.0037231445,69.64406,35.904885,-79.0548569,-9999
12:29:00.384,-9999,-9999,1002.66895,0.9445038,2.2144012,9.859421,-31.903076,-2.255249,9.16748,0.008148193,-0.013336182,-0.01727295,67.060425,35.904885,-79.0548569,-9999
