Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,DegreesAvg,Turn,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1476238060405,-9999,-9999,1009.0,0.36391866,0.91937345,9.662998,0.115882605,0.07189286,-0.14107418,5.9375,-22.125,-6.5625,195.22769,194.45979840000007,-9999,-0.010995574,-0.007330383,0.014660766,0.0,-9999,-9999,-9999
1476238060513,-9999,-9999,1008.94,0.21068975,0.80445176,9.797073,-0.102590635,-0.05681616,0.030517578,6.4375,-21.875,-6.1875,195.36926,194.48142560000005,-9999,-0.013439035,0.02321288,0.008552114,0.0,-9999,-9999,-9999
1476238060623,-9999,-9999,1009.0,0.24899697,0.842759,9.662998,-0.07165161,0.026804507,-0.12310314,6.0625,-22.375,-6.125,195.46648,194.50355860000002,-9999,0.018325957,-0.0012217305,-0.0061086523,0.0,-9999,-9999,-9999
1476238060736,-9999,-9999,1009.0,0.30645782,0.90021986,9.605537,-0.018528461,0.07366973,-0.14121819,5.6875,-22.5,-6.5,195.38968,194.52177919999997,-9999,0.017104227,0.0036651916,-0.0036651916,0.0,-9999,-9999,-9999
1476238060855,-9999,-9999,1009.0,0.2681506,0.8619126,9.662998,-0.0059538484,0.024023414,-0.12088108,5.75,-22.75,-7.125,195.3795,194.53946019999995,-9999,0.007330383,-0.010995574,-0.0012217305,0.0,-9999,-9999,-9999
1476238060967,-9999,-9999,1008.91,0.2873042,0.90021986,9.662998,-0.018307686,0.03048414,-0.15768719,6.0625,-22.5,-6.625,195.45186,194.5583609999999,-9999,0.017104227,-0.009773844,0.015882496,0.0,-9999,-9999,-9999
1476238061079,-9999,-9999,1008.94,0.34476504,0.842759,9.682152,4.169345E-4,-0.009666145,-0.061740875,5.25,-22.125,-6.1875,195.35951,194.57757519999993,-9999,0.009773844,-0.007330383,0.007330383,0.0,-9999,-9999,-9999
1476238061191,-9999,-9999,1008.91,0.30645782,0.9959879,9.56723,-0.0042283535,0.08901757,-0.13846874,5.4375,-22.125,-6.625,195.13687,194.59208859999995,-9999,0.035430185,-0.010995574,-0.018325957,0.0,-9999,-9999,-9999
1476238061302,-9999,-9999,1008.91,0.2681506,0.93852705,9.739613,-0.07485926,0.019004405,-0.07770634,5.75,-22.3125,-6.3125,195.16556,194.6081485999999,-9999,-0.0061086523,-0.017104227,0.004886922,0.0,-9999,-9999,-9999
1476238061405,-9999,-9999,1008.97,0.24899697,0.91937345,9.662998,-0.057993293,0.020500481,-0.09754276,5.6875,-22.4375,-6.375,195.15732,194.62489719999994,-9999,-0.03176499,0.013439035,0.02321288,0.0,-9999,-9999,-9999
1476238061516,-9999,-9999,1008.97,0.38307226,0.82360536,9.624691,0.0108808875,-0.033352673,-0.09822655,4.9375,-22.5625,-7.1875,194.98563,194.63938579999999,-9999,-0.018325957,-0.012217305,-0.0036651916,0.0,-9999,-9999,-9999
1476238061622,-9999,-9999,1008.85,0.24899697,0.80445176,9.739613,-0.08772905,-0.05136603,-0.021026611,5.625,-22.6875,-7.25,194.89241,194.652829,-9999,0.017104227,-0.002443461,-0.02443461,0.0,-9999,-9999,-9999
1476238061727,-9999,-9999,1008.97,0.34476504,1.1300632,9.605537,0.021629483,0.19122314,-0.11663818,5.5,-22.0625,-6.8125,194.92613,194.66532679999997,-9999,0.010995574,-0.019547688,0.017104227,0.0,-9999,-9999,-9999
1476238061836,-9999,-9999,1009.0,0.2681506,0.9768343,9.720459,-0.0056881607,0.028521717,-0.11369705,5.75,-21.8125,-6.6875,194.99225,194.67899039999998,-9999,0.007330383,-0.02565634,-0.0061086523,0.0,-9999,-9999,-9999
1476238061939,-9999,-9999,1008.91,0.22984336,1.0534488,9.662998,-0.050358117,0.107406974,-0.11186886,5.625,-21.875,-6.1875,195.04622,194.69511539999996,-9999,0.04153884,0.039095376,0.06352998,0.0,-9999,-9999,-9999
1476238062051,-9999,-9999,1009.0,0.36391866,1.283292,9.605537,0.0165914,0.38153505,-0.14729214,5.625,-22.3125,-6.1875,195.1304,194.71674380000002,-9999,-0.02076942,0.021991149,0.04153884,0.0,-9999,-9999,-9999
1476238062160,-9999,-9999,1009.0,0.24899697,1.2066777,9.682152,-0.04146129,0.2604279,-0.070625305,5.375,-22.8125,-6.25,195.07858,194.7404278,-9999,-0.029321533,-0.0012217305,0.017104227,0.0,-9999,-9999,-9999
1476238062270,-9999,-9999,1009.06,0.32561144,1.1492168,9.605537,-0.0033563972,0.12735772,-0.049616814,5.125,-22.75,-6.1875,194.90688,194.7587054,-9999,-0.004886922,-0.018325957,0.0012217305,0.0,-9999,-9999,-9999
1476238062374,-9999,-9999,1008.91,0.2873042,1.1875241,9.682152,-0.010781407,0.1551547,-0.06545067,4.8125,-22.5625,-6.4375,194.67589,194.77345680000002,-9999,0.021991149,-0.0061086523,-0.015882496,0.0,-9999,-9999,-9999
1476238062482,-9999,-9999,1009.0,0.30645782,1.2066777,9.739613,-0.10793799,0.12874103,0.014039993,5.0625,-22.5625,-6.6875,194.46747,194.78648540000006,-9999,0.07941248,-0.02321288,0.043982297,0.0,-9999,-9999,-9999
1476238062594,-9999,-9999,1008.94,0.24899697,1.2066777,9.662998,-0.06244421,0.09833455,-0.1327095,5.5625,-22.9375,-6.4375,194.52934,194.8005226,-9999,-0.034208454,-0.09773844,0.059864793,0.0,-9999,-9999,-9999
1476238062705,-9999,-9999,1009.0,0.47884035,1.1875241,9.739613,0.05446714,0.09315491,-0.06877136,5.25,-22.5625,-6.5,194.53091,194.8160522,-9999,-0.019547688,-0.0012217305,0.058643065,0.0,-9999,-9999,-9999
1476238062811,-9999,-9999,1009.02997,0.32561144,1.4748282,9.490616,-0.12873155,0.3694955,-0.21270275,4.875,-23.0,-6.75,194.37524,194.830127,-9999,0.02443461,0.13927728,-0.04886922,0.0,-9999,-9999,-9999
1476238062920,-9999,-9999,1008.94,0.32561144,1.1109096,9.490616,-0.058088183,0.18446326,-0.2557974,4.9375,-22.8125,-6.5625,194.24158,194.84235520000001,-9999,-0.021991149,0.05009095,-0.04642576,0.0,-9999,-9999,-9999
1476238063027,-9999,-9999,1009.0,0.15322891,1.1109096,9.605537,-0.3182397,0.13289309,0.010938644,5.125,-22.75,-6.9375,194.13441,194.85264560000005,-9999,-0.014660766,-0.047647487,-0.019547688,0.0,-9999,-9999,-9999
1476238063139,-9999,-9999,1008.94,0.17238252,1.3024458,9.662998,-0.14856967,0.21314669,0.038744926,4.625,-22.8125,-7.0,194.05125,194.86030540000004,-9999,-0.0012217305,-0.09407325,0.042760566,0.0,-9999,-9999,-9999
1476238063249,-9999,-9999,1008.94,0.38307226,1.4556746,9.720459,-0.027790457,0.2638241,-0.011691093,5.0625,-22.25,-6.5625,193.94963,194.8626058,-9999,0.03176499,0.008552114,0.030543262,0.0,-9999,-9999,-9999
1476238063369,-9999,-9999,1008.94,0.17238252,1.5131354,9.643845,-0.27435148,0.3557881,-0.04276371,5.0625,-22.25,-6.5625,193.9681,194.85783580000003,-9999,0.019547688,-0.05375614,0.032986723,0.0,-9999,-9999,-9999
1476238063483,-9999,-9999,1008.97,0.61291564,1.6089035,9.758766,0.27409604,0.28326428,0.04429531,4.5625,-22.8125,-6.5625,193.93338,194.84874140000008,-9999,-0.004886922,-0.010995574,0.09407325,0.0,-9999,-9999,-9999
