Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),Mag(x),Mag(y),Mag(z),Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
12:24:23.806,-9999,-9999,1002.07,-1.0534488,1.2449849,8.954314,-1.5625,47.9375,16.0625,0.08674286,0.312763,0.008552114,738.0,-9999,-9999,-9999
12:24:23.925,-9999,-9999,1002.04,-1.1300632,1.1875241,9.701305,-1.75,46.875,15.9375,-0.07452556,-0.24801129,0.04520403,640.0,-9999,-9999,-9999
12:24:24.052,-9999,-9999,1002.04,-0.9576807,1.2449849,8.973468,-0.75,47.75,15.8125,0.14294247,0.2284636,-0.010995574,640.0,-9999,-9999,-9999
12:24:24.181,-9999,-9999,1002.13995,-1.2066777,0.9576807,9.528923,-1.5,46.9375,15.0,-0.16737708,0.02565634,0.039095376,640.0,-9999,-9999,-9999
12:24:24.313,-9999,-9999,1002.1,-1.5514427,0.9768343,9.375694,-1.9375,47.625,15.75,0.07941248,-0.5900958,0.13194689,640.0,-9999,-9999,-9999
12:24:24.431,-9999,-9999,1002.13995,-0.78529817,1.340753,9.184157,-2.125,47.25,17.1875,0.08307768,0.3811799,0.004886922,640.0,-9999,-9999,-9999
12:24:24.550,-9999,-9999,1002.13995,-1.2641385,1.0151415,9.433155,-1.4375,47.625,15.4375,-0.02565634,0.073303826,0.008552114,640.0,-9999,-9999,-9999
12:24:24.678,-9999,-9999,1002.1,-1.8195933,1.4748282,9.222465,-1.3125,46.75,14.5625,-0.040317107,-0.13072516,0.09285152,851.0,-9999,-9999,-9999
12:24:24.788,-9999,-9999,1002.1,-2.1643584,0.9768343,9.835381,-0.4375,47.875,14.3125,-0.16737708,-0.20525073,0.036651913,851.0,-9999,-9999,-9999
12:24:24.907,-9999,-9999,1002.1,-1.4748282,1.2258313,9.260772,-1.5,48.6875,15.375,0.018325957,-0.035430185,0.008552114,851.0,-9999,-9999,-9999
12:24:25.026,-9999,-9999,1002.17,-1.5514427,1.0726024,9.030929,-0.4375,48.5,15.3125,0.047647487,-0.14538592,-0.009773844,851.0,-9999,-9999,-9999
12:24:25.145,-9999,-9999,1002.13995,-1.4748282,1.3024458,9.126697,-0.75,48.0,15.4375,-0.039095376,0.039095376,0.052534413,710.0,-9999,-9999,-9999
12:24:25.280,-9999,-9999,1002.13995,-2.2409728,1.2258313,10.0269165,-0.3125,48.6875,15.6875,0.0720821,-0.087964594,0.14049901,710.0,-9999,-9999,-9999
12:24:25.403,-9999,-9999,1002.07,-1.2066777,0.6895301,8.973468,-0.3125,49.0,16.5625,0.06841691,-0.12583824,0.09407325,710.0,-9999,-9999,-9999
